"","Date","Deaths_previously_reported","Deaths_reported_today","New_total"
"1","05/21",2,0,2
"2","05/22",3,0,3
"3","05/23",6,0,6
"4","05/24",8,0,8
"5","05/25",4,0,4
"6","05/26",1,0,1
"7","05/26",10,0,10
"8","05/27",21,0,21
"9","05/28",20,0,20
"10","05/29",21,0,21
"11","05/30",22,0,22
"12","05/31",40,0,40
"13","06/01",22,0,22
"14","06/02",28,0,28
"15","06/03",23,0,23
"16","06/04",29,0,29
"17","06/05",16,0,16
"18","06/06",27,0,27
"19","06/07",34,0,34
"20","06/08",19,0,19
"21","06/09",25,0,25
"22","06/10",14,0,14
"23","06/11",14,0,14
"24","06/12",19,0,19
"25","06/13",20,0,20
"26","06/14",21,0,21
"27","06/15",17,0,17
"28","06/16",14,0,14
"29","06/17",11,0,11
"30","06/18",14,0,14
"31","06/19",14,0,14
"32","06/20",10,0,10
"33","06/21",9,0,9
"34","06/22",6,0,6
"35","06/23",9,0,9
"36","06/24",7,0,7
"37","06/25",6,0,6
"38","06/26",12,0,12
"39","06/27",5,0,5
"40","06/28",10,0,10
"41","06/29",8,0,8
"42","06/30",6,0,6
"43","07/01",9,0,9
"44","07/02",9,0,9
"45","07/03",1,0,1
"46","07/03",5,0,5
"47","07/04",5,0,5
"48","07/05",8,0,8
"49","07/06",8,0,8
"50","07/07",7,0,7
"51","07/08",5,0,5
"52","07/09",3,0,3
"53","07/10",1,0,1
"54","07/10",4,0,4
"55","07/11",5,0,5
"56","07/12",7,0,7
"57","07/13",2,0,2
"58","07/14",1,0,1
"59","07/15",1,0,1
"60","07/15",4,0,4
"61","07/16",4,0,4
"62","07/17",1,0,1
"63","07/17",1,0,1
"64","07/18",2,0,2
"65","07/19",3,0,3
"66","07/20",2,0,2
"67","07/20",2,0,2
"68","07/21",2,0,2
"69","07/22",1,0,1
"70","07/22",1,0,1
"71","07/24",1,0,1
"72","07/24",2,0,2
"73","07/25",4,0,4
"74","07/26",1,0,1
"75","07/28",1,0,1
"76","07/29",1,0,1
"77","07/29",1,0,1
"78","07/30",1,0,1
"79","07/30",3,0,3
"80","07/31",1,0,1
"81","07/31",2,0,2
"82","08/01",1,0,1
"83","08/02",0,1,1
"84","08/04",0,2,2
"85","08/08",0,1,1
