"","Date","Deaths_previously_reported","Deaths_reported_today","New_total"
"1",2021-05-21,2,0,2
"2",2021-05-22,3,0,3
"3",2021-05-23,6,0,6
"4",2021-05-24,8,0,8
"5",2021-05-25,4,0,4
"6",2021-05-26,10,0,10
"7",2021-05-27,21,0,21
"8",2021-05-28,19,0,19
"9",2021-05-29,21,0,21
"10",2021-05-30,22,0,22
"11",2021-05-31,40,0,40
"12",2021-06-01,22,0,22
"13",2021-06-02,27,0,27
"14",2021-06-03,22,0,22
"15",2021-06-04,25,3,28
"16",2021-06-05,15,0,15
"17",2021-06-06,21,2,23
"18",2021-06-07,30,1,31
"19",2021-06-08,15,1,16
"20",2021-06-09,12,10,22
"21",2021-06-10,6,6,12
"22",2021-06-11,1,2,3
"23",2021-06-12,0,1,1
